# Annotated with Bakta
# Software: v1.9.1
# Database: v5.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	1	1524	+	AGJPKI_00005	dnaA	chromosomal replication initiator protein DnaA	COG:COG0593, COG:L, GO:0003688, GO:0005524, GO:0005737, GO:0006270, GO:0006275, SO:0001217, UniRef:UniRef50_A0R7K1, UniRef:UniRef90_A5TY69
contig_1	oriC	1525	2051	?			origin of replication	
contig_1	cds	2052	3260	+	AGJPKI_00010	dnaN	DNA polymerase III subunit beta	COG:COG0592, COG:L, EC:2.7.7.7, GO:0003677, GO:0003887, GO:0005576, GO:0005737, GO:0006271, GO:0008408, GO:0009274, GO:0009360, GO:0042802, GO:0046677, KEGG:K02338, RefSeq:WP_003400271.1, SO:0001217, UniParc:UPI0000129704, UniRef:UniRef100_P9WNU0, UniRef:UniRef50_A0QND6, UniRef:UniRef90_P9WNU0
contig_1	cds	3280	4437	+	AGJPKI_00015	recF	DNA replication/repair protein RecF	COG:COG1195, COG:L, GO:0000731, GO:0003697, GO:0005524, GO:0005829, GO:0005886, GO:0006260, GO:0006302, GO:0009432, RefSeq:WP_003899768.1, SO:0001217, UniParc:UPI0000164F19, UniRef:UniRef100_P9WHI8, UniRef:UniRef50_P36176, UniRef:UniRef90_A5TY71
contig_1	cds	4482	4997	+	AGJPKI_00020	dciA	DNA replication protein DciA	BlastRules:WP_003899769, BlastRules:WP_011726604, COG:COG5512, COG:R, SO:0001217, UniParc:UPI0001E61F48, UniRef:UniRef100_Q7U313, UniRef:UniRef50_Q7U313, UniRef:UniRef90_C1AJ01
contig_1	cds	5123	7267	+	AGJPKI_00025	gyrB	DNA topoisomerase (ATP-hydrolyzing) subunit B	COG:COG0187, COG:L, EC:5.6.2.2, GO:0000287, GO:0003677, GO:0003918, GO:0005524, GO:0005694, GO:0005737, GO:0005886, GO:0006261, GO:0006265, GO:0009274, GO:0034335, GO:0046677, KEGG:K02470, SO:0001217, UniParc:UPI0000165204, UniRef:UniRef100_H9MZS7, UniRef:UniRef50_A0QNE0, UniRef:UniRef90_A0A0G2Q9D6
contig_1	cds	7302	9818	+	AGJPKI_00030	gyrA	intein-containing DNA gyrase subunit A	COG:COG0188, COG:L, EC:5.6.2.2, GO:0000287, GO:0003677, GO:0003918, GO:0005524, GO:0005694, GO:0005737, GO:0005886, GO:0006261, GO:0006265, GO:0009274, GO:0009330, GO:0016887, GO:0034335, GO:0046677, RefSeq:WP_003400286.1, SO:0001217, UniParc:UPI0000164F1A, UniRef:UniRef100_A0A0G2Q9F8, UniRef:UniRef50_P9WG47, UniRef:UniRef90_P9WG47
contig_1	cds	9963	10160	+	AGJPKI_00035		Transposase	SO:0001217, UniParc:UPI00005EE33B, UniRef:UniRef100_A0A655CA60, UniRef:UniRef50_A0A2I7W278, UniRef:UniRef90_A0A2I7W278
contig_1	cds	10523	10828	+	AGJPKI_00040		putative conserved membrane protein	SO:0001217, UniParc:UPI00041FC5F8, UniRef:UniRef100_A0A5P3LRM3, UniRef:UniRef50_W7SV61, UniRef:UniRef90_A0A5P3LRM3
contig_1	tRNA	10887	10960	+	AGJPKI_00045	trnI	tRNA-Ile(gat)	SO:0000263
contig_1	tRNA	11112	11184	+	AGJPKI_00050	trnA	tRNA-Ala(tgc)	SO:0000254
contig_1	cds	11421	11528	-	AGJPKI_00055		Transposase	SO:0001217, UniParc:UPI000169A49C, UniRef:UniRef100_A0A0E8NPY8, UniRef:UniRef50_A0A8S8LGW3, UniRef:UniRef90_A0A8S8LGW3
contig_1	cds	11555	11692	-	AGJPKI_00060		DUF3800 domain-containing protein	RefSeq:WP_003400297.1, SO:0001217, UniParc:UPI00000D2B1C, UniRef:UniRef100_A0A0E8V2J1, UniRef:UniRef50_R4M1G8, UniRef:UniRef90_R4M1G8
contig_1	cds	11874	12311	-	AGJPKI_00065	cwsA	Cell wall synthesis protein CwsA	GO:0005886, GO:0007049, GO:0008360, GO:0042546, GO:0051301, RefSeq:WP_003400307.1, SO:0001217, UniParc:UPI0000164F1B, UniRef:UniRef100_P59977, UniRef:UniRef50_A0QNF5, UniRef:UniRef90_P9WJF3
contig_1	cds	12468	13016	+	AGJPKI_00070	ppiA	peptidylprolyl isomerase PpiA	BlastRules:WP_003400321, EC:5.2.1.8, GO:0000413, GO:0003755, GO:0005737, GO:0006457, RefSeq:WP_003400321.1, SO:0001217, UniParc:UPI000013206D, UniRef:UniRef100_P9WHW2, UniRef:UniRef50_P9WHW2, UniRef:UniRef90_P9WHW2
contig_1	cds	13024	13176	-	AGJPKI_00075		Integrase	RefSeq:WP_003907166.1, SO:0001217, UniParc:UPI00000D2B1D, UniRef:UniRef100_A0A0E8W6H0, UniRef:UniRef50_A0A0E8W6H0, UniRef:UniRef90_A0A0E8W6H0
contig_1	cds	13133	13492	-	AGJPKI_00080		Uncharacterized protein Rv0010c	GO:0005886, SO:0001217, UniParc:UPI0001D8DB87, UniRef:UniRef100_P9WMA2, UniRef:UniRef50_P9WMA2, UniRef:UniRef90_P9WMA2
contig_1	cds	13714	13995	-	AGJPKI_00085	crgA	cell division protein CrgA	GO:0005886, GO:0007049, GO:0008360, GO:0051301, RefSeq:WP_003400344.1, SO:0001217, UniParc:UPI00001390E6, UniRef:UniRef100_P67377, UniRef:UniRef50_B2HI58, UniRef:UniRef90_P67377
contig_1	cds	14134	14877	+	AGJPKI_00090	ylxW	UPF0749 protein	COG:COG3879, COG:S, RefSeq:WP_003917864.1, SO:0001217, UniParc:UPI000169A49E, UniRef:UniRef100_R4M410, UniRef:UniRef50_A1T121, UniRef:UniRef90_R4M410
contig_1	cds	14914	15612	+	AGJPKI_00095	trpG	aminodeoxychorismate/anthranilate synthase component II	COG:COG0512, COG:EH, EC:4.1.3.27, GO:0000162, GO:0004049, GO:0005886, GO:0006541, RefSeq:WP_003899773.1, SO:0001217, UniParc:UPI00000D122C, UniRef:UniRef100_P9WN34, UniRef:UniRef50_P9WN34, UniRef:UniRef90_P9WN34
contig_1	cds	15590	17470	-	AGJPKI_00100	pknB	serine/threonine protein kinase PknB	BlastRules:WP_003400356, COG:COG2815, COG:M, EC:2.7.11.1, GO:0004674, GO:0005524, GO:0005886, GO:0006468, GO:0031326, GO:0046872, GO:0106310, RefSeq:WP_003400356.1, SO:0001217, UniParc:UPI0000131B78, UniRef:UniRef100_P0A5S5, UniRef:UniRef50_P54744, UniRef:UniRef90_P0A5S5
contig_1	cds	17467	18762	-	AGJPKI_00105	pknA	serine/threonine protein kinase PknA	BlastRules:WP_003400358, COG:COG0515, COG:T, EC:2.7.11.1, GO:0004672, GO:0004674, GO:0005524, GO:0005576, GO:0005829, GO:0005886, GO:0006468, GO:0008360, GO:0018105, GO:0043085, GO:0043086, GO:0043388, GO:0045717, GO:0046777, GO:0051055, GO:0106310, GO:1990443, RefSeq:WP_003400358.1, SO:0001217, UniParc:UPI0000131B76, UniRef:UniRef100_P65727, UniRef:UniRef50_P54743, UniRef:UniRef90_P65727
contig_1	cds	18759	20234	-	AGJPKI_00110	pbpA	D,D-transpeptidase PbpA	BlastRules:WP_003899775, COG:COG0768, COG:DM, EC:3.4.16.4, GO:0005829, GO:0005886, GO:0008360, GO:0008658, GO:0009002, GO:0009252, GO:0071555, GO:0071972, RefSeq:WP_003899775.1, SO:0001217, UniParc:UPI00000D1222, UniRef:UniRef100_P9WKD0, UniRef:UniRef50_A0QNG3, UniRef:UniRef90_P9WKD0
contig_1	cds	20231	21640	-	AGJPKI_00115	rodA	cell shape-determining peptidoglycan glycosyltransferase RodA	BlastRules:WP_003227413, BlastRules:WP_003400364, EC:2.4.1.129, GO:0005886, GO:0008360, GO:0008955, GO:0009252, GO:0015648, GO:0032153, GO:0051301, GO:0052559, GO:0071555, RefSeq:WP_003400364.1, SO:0001217, UniParc:UPI000012ACFC, UniRef:UniRef100_P63761, UniRef:UniRef50_P63761, UniRef:UniRef90_P63761
contig_1	cds	21637	23172	-	AGJPKI_00120	pstP	serine/threonine phosphatase PstP	BlastRules:WP_015385224, COG:COG0631, COG:T, EC:3.1.3.16, GO:0000287, GO:0004721, GO:0004722, GO:0005886, GO:0006469, GO:0006470, GO:0009274, GO:0016020, GO:0017018, GO:0030145, GO:0043085, GO:0043086, GO:0043392, RefSeq:WP_003912500.1, SO:0001217, UniParc:UPI00000D2B1E, UniRef:UniRef100_A0A0E8U7D5, UniRef:UniRef50_P9WHW5, UniRef:UniRef90_P9WHW5
contig_1	cds	23270	23737	-	AGJPKI_00125	fhaB	growth/cell division-associated protein FhaB	BlastRules:WP_003400373, COG:COG1716, COG:T, GO:0003729, GO:0005576, GO:0005886, GO:0006979, GO:0051301, GO:0051701, RefSeq:WP_003400373.1, SO:0001217, UniParc:UPI00000D1214, UniRef:UniRef100_P9WJB4, UniRef:UniRef50_A0QNG6, UniRef:UniRef90_P9WJB4
contig_1	cds	23861	25426	-	AGJPKI_00130	fhaA	cell division-associated protein FhaA	BlastRules:WP_003912368, COG:COG1716, COG:T, RefSeq:WP_003899777.1, SO:0001217, UniParc:UPI00000D2B1F, UniRef:UniRef100_A0A045HST4, UniRef:UniRef50_P71590, UniRef:UniRef90_A0A8E0E1J3
contig_1	tRNA	25626	25708	+	AGJPKI_00135	trnL	tRNA-Leu(cag)	SO:0000264
contig_1	cds	25728	25997	+	AGJPKI_00140		Secreted protein	SO:0001217, UniRef:UniRef50_A0A120IN24, UniRef:UniRef90_A0A120IN24
contig_1	cds	25895	26863	-	AGJPKI_00145	yrpB	NAD(P)H-dependent flavin oxidoreductase YrpB, nitropropane dioxygenase family	COG:COG2070, COG:R, RefSeq:WP_003899778.1, SO:0001217, UniParc:UPI00000D1243, UniRef:UniRef100_A0A045HSH8, UniRef:UniRef50_A0A2Z3J9G6, UniRef:UniRef90_G0TLQ4
contig_1	cds	27005	27424	-	AGJPKI_00150	whiB5	transcriptional regulator WhiB5	BlastRules:WP_003400388, GO:0003677, GO:0005737, GO:0006355, GO:0035731, GO:0046872, GO:0051539, KEGG:K18956, RefSeq:WP_003400388.1, SO:0001217, UniParc:UPI00000CA921, UniRef:UniRef100_P71592, UniRef:UniRef50_P71592, UniRef:UniRef90_P71592
contig_1	cds	27577	28347	+	AGJPKI_00155	hipB	Uncharacterized HTH-type transcriptional regulator Rv0023	COG:COG1396, COG:K, GO:0003677, RefSeq:WP_003400391.1, SO:0001217, UniParc:UPI000013911A, UniRef:UniRef100_P67705, UniRef:UniRef50_P67705, UniRef:UniRef90_P67705
contig_1	cds	28344	29189	+	AGJPKI_00160	nlpC	Cell wall-associated hydrolase, NlpC_P60 family	COG:COG0791, COG:M, RefSeq:WP_003400393.1, SO:0001217, UniParc:UPI00000D121B, UniRef:UniRef100_A0A8E0AGQ4, UniRef:UniRef50_R4M415, UniRef:UniRef90_R4LXY6
contig_1	cds	29227	29499	+	AGJPKI_00165	bssS	Biofilm regulator, BssS	SO:0001217, UniParc:UPI0000164F1D, UniRef:UniRef100_A0A0E9AL07, UniRef:UniRef50_A0A0E9AL07, UniRef:UniRef90_A0A0E9AL07
contig_1	cds	29703	31049	+	AGJPKI_00170		Uncharacterized protein Rv0026	SO:0001217, UniParc:UPI00012780B0, UniRef:UniRef100_A0A0H3L489, UniRef:UniRef50_P9WMB1, UniRef:UniRef90_P9WMB1
contig_1	cds	31170	31487	+	AGJPKI_00175		Uncharacterized protein Mb0028	GO:0009306, RefSeq:WP_003400401.1, SO:0001217, UniParc:UPI000013912B, UniRef:UniRef100_P9WM98, UniRef:UniRef50_P9WM98, UniRef:UniRef90_P9WM98
contig_1	cds	31495	31800	+	AGJPKI_00180		Uncharacterized protein Mb0029	RefSeq:WP_003400405.1, SO:0001217, UniParc:UPI0000139130, UniRef:UniRef100_P9WM96, UniRef:UniRef50_P9WM96, UniRef:UniRef90_P9WM96
contig_1	cds	31805	31948	-	AGJPKI_00185		Uncharacterized protein Rv0028A	RefSeq:WP_003400408.1, SO:0001217, UniParc:UPI00000D2B21, UniRef:UniRef100_P0DMM2, UniRef:UniRef50_P0DMM2, UniRef:UniRef90_P0DMM2
contig_1	cds	32260	33135	+	AGJPKI_00190		Vegetative cell wall protein	SO:0001217, UniParc:UPI0001E62800, UniRef:UniRef100_R4MDD1, UniRef:UniRef50_G4HVZ0, UniRef:UniRef90_G0TLR2
contig_1	cds	33205	33534	+	AGJPKI_00195		Uncharacterized protein Mb0031	RefSeq:WP_003400413.1, SO:0001217, UniParc:UPI0000139138, UniRef:UniRef100_P9WM94, UniRef:UniRef50_P9WM94, UniRef:UniRef90_P9WM94
contig_1	cds	34276	36501	+	AGJPKI_00200	bioF2	Putative 8-amino-7-oxononanoate synthase 2	COG:COG0156, COG:H, EC:2.3.1.47, GO:0008710, GO:0009058, GO:0009274, GO:0030170, SO:0001217, UniParc:UPI00012780B1, UniRef:UniRef100_A0A0E8TUP6, UniRef:UniRef50_P9WQ84, UniRef:UniRef90_P9WQ84
contig_1	cds	36462	36590	+	AGJPKI_00205		Aminotransferase class II, serinepalmitoyltransferase	SO:0001217, UniParc:UPI000252D1F6, UniRef:UniRef100_A0A0E8TQG7, UniRef:UniRef50_A0A0E8TQG7, UniRef:UniRef90_A0A0E8TQG7
contig_1	cds	36587	36850	+	AGJPKI_00210	acpP	Acyl carrier protein	COG:COG0236, COG:I, RefSeq:WP_003400418.1, SO:0001217, UniParc:UPI00000D1219, UniRef:UniRef100_A0A1R3XU46, UniRef:UniRef50_A0A1R3XU46, UniRef:UniRef90_A0A1R3XU46
contig_1	cds	36847	37242	+	AGJPKI_00215	yesE	Uncharacterized protein Mb0035	COG:COG3631, COG:R, RefSeq:WP_003400421.1, SO:0001217, UniParc:UPI0000139145, UniRef:UniRef100_P9WM92, UniRef:UniRef50_P9WM92, UniRef:UniRef90_P9WM92
contig_1	cds	37239	38927	+	AGJPKI_00220	menE	O-succinylbenzoic acid-CoA ligase MenE or related acyl-CoA synthetase (AMP-forming)	COG:COG0318, COG:I, RefSeq:WP_003400425.1, SO:0001217, UniParc:UPI00000D1206, UniRef:UniRef100_A0A0E7YT27, UniRef:UniRef50_A0A0E7YT27, UniRef:UniRef90_A0A0E7YT27
contig_1	cds	39036	39809	-	AGJPKI_00225		Uncharacterized protein Mb0037c	GO:0046872, RefSeq:WP_003400427.1, SO:0001217, UniParc:UPI0000139155, UniRef:UniRef100_P9WM90, UniRef:UniRef50_P9WM90, UniRef:UniRef90_P9WM90
contig_1	cds	39857	41167	-	AGJPKI_00230		Uncharacterized MFS-type transporter Mb0038c	GO:0005886, GO:0022857, SO:0001217, UniParc:UPI0003A3F21E, UniRef:UniRef100_A0A0E9AN17, UniRef:UniRef50_P9WJY0, UniRef:UniRef90_P9WJY0
