locus_tag	gene	type	rv_equivalent	start	end	strand	source
		source		0	4416075	+	
Erdman_0001	dnaA	CDS	Rv0001	0	1524	+	ratt
		rep_origin		1524	2051	+	bakta
Erdman_0002	dnaN	CDS	Rv0002	2051	3260	+	ratt
Erdman_0003	recF	CDS	Rv0003	3279	4437	+	ratt
Erdman_0004	ERv0004	CDS	Rv0004	4433	4997	+	ratt
Erdman_0005	gyrB	CDS	Rv0005	5239	7267	+	ratt
Erdman_0006	gyrA	CDS	Rv0006	7301	9818	+	ratt
Erdman_0007	ERv0007	CDS	Rv0007	9913	10828	+	ratt
Erdman_0008	ileT	tRNA	Rvnt01	10886	10960	+	ratt
Erdman_0009	alaT	tRNA	Rvnt02	11111	11184	+	ratt
Erdman_0010	Erdman_0010	CDS		11420	11528	-	bakta
Erdman_0011	Erdman_0011	CDS		11554	11692	-	bakta
Erdman_0012	ERv0008c	CDS	Rv0008c	11873	12311	-	ratt
Erdman_0013	ppiA	CDS	Rv0009	12467	13016	+	ratt
Erdman_0014	ERv0010c	CDS	Rv0010c	13132	13558	-	ratt
Erdman_0015	ERv0011c	CDS	Rv0011c	13713	13995	-	ratt
Erdman_0016	ERv0012	CDS	Rv0012	14088	14877	+	ratt
Erdman_0017	trpG	CDS	Rv0013	14913	15612	+	ratt
Erdman_0018	pknB	CDS	Rv0014c	15589	17470	-	ratt
Erdman_0019	pknA	CDS	Rv0015c	17466	18762	-	ratt
Erdman_0020	pbpA	CDS	Rv0016c	18758	20234	-	ratt
Erdman_0021	rodA	CDS	Rv0017c	20230	21640	-	ratt
Erdman_0022	pstP	CDS	Rv0018c	21636	23181	-	ratt
Erdman_0023	fhaB	CDS	Rv0019c	23269	23737	-	ratt
Erdman_0024	fhaA	CDS	Rv0020c	23860	25426	-	ratt
Erdman_0025	leuT	tRNA	Rvnt03	25625	25708	+	ratt
Erdman_0026	ERv0021c	CDS	Rv0021c	25894	26863	-	ratt
Erdman_0027	whiB5	CDS	Rv0022c	27004	27424	-	ratt
Erdman_0028	ERv0023	CDS	Rv0023	27576	28347	+	ratt
Erdman_0029	ERv0024	CDS	Rv0024	28343	29189	+	ratt
Erdman_0030	ERv0025	CDS	Rv0025	29226	29499	+	ratt
Erdman_0031	ERv0026	CDS	Rv0026	29702	31049	+	ratt
Erdman_0032	ERv0027	CDS	Rv0027	31169	31487	+	ratt
Erdman_0033	ERv0028	CDS	Rv0028	31494	31800	+	ratt
Erdman_0034	Erdman_0034	CDS		31804	31948	-	bakta
Erdman_0035	ERv0029	CDS	Rv0029	32037	33135	+	ratt
Erdman_0036	ERv0030	CDS	Rv0030	33204	33534	+	ratt
Erdman_0037	bioF2	CDS	Rv0032	34275	36501	+	ratt
Erdman_0038	acpA	CDS	Rv0033	36586	36850	+	ratt
Erdman_0039	ERv0034	CDS	Rv0034	36846	37242	+	ratt
Erdman_0040	fadD34	CDS	Rv0035	37238	38927	+	ratt
Erdman_0041	ERv0036c	CDS	Rv0036c	39035	39809	-	ratt
Erdman_0042	ERv0037c	CDS	Rv0037c	39856	41182	-	ratt
Erdman_0043	ERv0038	CDS	Rv0038	41283	41892	+	ratt
Erdman_0044	ERv0039c	CDS	Rv0039c	41983	42331	-	ratt
Erdman_0045	mtc28	CDS	Rv0040c	42412	43345	-	ratt
Erdman_0046	leuS	CDS	Rv0041	43541	46451	+	ratt
Erdman_0047	ERv0042c	CDS	Rv0042c	46560	47187	-	ratt
Erdman_0048	ERv0043c	CDS	Rv0043c	47345	48080	-	ratt
Erdman_0049	ERv0044c	CDS	Rv0044c	48212	49007	-	ratt
Erdman_0050	ERv0045c	CDS	Rv0045c	49022	49919	-	ratt
Erdman_0051	ino1	CDS	Rv0046c	50000	51104	-	ratt
Erdman_0052	ERv0047c	CDS	Rv0047c	51164	51707	-	ratt
Erdman_0053	ERv0048c	CDS	Rv0048c	51807	52677	-	ratt
Erdman_0054	ERv0049	CDS	Rv0049	52810	53224	+	ratt
Erdman_0055	ponA1	CDS	Rv0050	53642	55679	+	ratt
Erdman_0056	ERv0051	CDS	Rv0051	55675	57358	+	ratt
Erdman_0057	ERv0052	CDS	Rv0052	57389	57953	+	ratt
Erdman_0058	rpsF	CDS	Rv0053	58171	58462	+	ratt
Erdman_0059	ssb	CDS	Rv0054	58565	59060	+	ratt
Erdman_0060	rpsR1	CDS	Rv0055	59101	59356	+	ratt
