locus_tag	gene	type	rv_equivalent	start	end	strand	source	note
		source		0	4416075	+		
ErdFL_0001	dnaA	gene	Rv0001	0	1524	+	ratt	Simliar to Rv0001 of M. tuberculosis H37Rv
ErdFL_0001	dnaA	CDS	Rv0001	0	1524	+	ratt	Simliar to Rv0001 of M. tuberculosis H37Rv
		rep_origin		1524	2051	+	bakta	De novo annotation with bakta
ErdFL_0002	dnaN	gene	Rv0002	2051	3260	+	ratt	Simliar to Rv0002 of M. tuberculosis H37Rv
ErdFL_0002	dnaN	CDS	Rv0002	2051	3260	+	ratt	Simliar to Rv0002 of M. tuberculosis H37Rv
ErdFL_0003	recF	gene	Rv0003	3279	4437	+	ratt	Simliar to Rv0003 of M. tuberculosis H37Rv
ErdFL_0003	recF	CDS	Rv0003	3279	4437	+	ratt	Simliar to Rv0003 of M. tuberculosis H37Rv
ErdFL_0004	ErdFL_0004	gene	Rv0004	4433	4997	+	ratt	Simliar to Rv0004 of M. tuberculosis H37Rv
ErdFL_0004	ErdFL_0004	CDS	Rv0004	4433	4997	+	ratt	Simliar to Rv0004 of M. tuberculosis H37Rv
ErdFL_0005	gyrB	gene	Rv0005	5239	7267	+	ratt	Simliar to Rv0005 of M. tuberculosis H37Rv
ErdFL_0005	gyrB	CDS	Rv0005	5239	7267	+	ratt	Simliar to Rv0005 of M. tuberculosis H37Rv
ErdFL_0006	gyrA	gene	Rv0006	7301	9818	+	ratt	Simliar to Rv0006 of M. tuberculosis H37Rv
ErdFL_0006	gyrA	CDS	Rv0006	7301	9818	+	ratt	Simliar to Rv0006 of M. tuberculosis H37Rv
ErdFL_0007	ErdFL_0007	gene	Rv0007	9913	10828	+	ratt	Simliar to Rv0007 of M. tuberculosis H37Rv
ErdFL_0007	ErdFL_0007	CDS	Rv0007	9913	10828	+	ratt	Simliar to Rv0007 of M. tuberculosis H37Rv
ErdFL_0008	ileT	gene	Rvnt01	10886	10960	+	ratt	Simliar to Rvnt01 of M. tuberculosis H37Rv
ErdFL_0008	ileT	tRNA	Rvnt01	10886	10960	+	ratt	Simliar to Rvnt01 of M. tuberculosis H37Rv
ErdFL_0009	alaT	gene	Rvnt02	11111	11184	+	ratt	Simliar to Rvnt02 of M. tuberculosis H37Rv
ErdFL_0009	alaT	tRNA	Rvnt02	11111	11184	+	ratt	Simliar to Rvnt02 of M. tuberculosis H37Rv
ErdFL_0010	ErdFL_0010	gene		11420	11528	-	bakta	De novo annotation with bakta
ErdFL_0010	ErdFL_0010	CDS		11420	11528	-	bakta	De novo annotation with bakta
ErdFL_0011	ErdFL_0011	gene		11554	11692	-	bakta	De novo annotation with bakta
ErdFL_0011	ErdFL_0011	CDS		11554	11692	-	bakta	De novo annotation with bakta
ErdFL_0012	ErdFL_0012	gene	Rv0008c	11873	12311	-	ratt	Simliar to Rv0008c of M. tuberculosis H37Rv
ErdFL_0012	ErdFL_0012	CDS	Rv0008c	11873	12311	-	ratt	Simliar to Rv0008c of M. tuberculosis H37Rv
ErdFL_0013	ppiA	gene	Rv0009	12467	13016	+	ratt	Simliar to Rv0009 of M. tuberculosis H37Rv
ErdFL_0013	ppiA	CDS	Rv0009	12467	13016	+	ratt	Simliar to Rv0009 of M. tuberculosis H37Rv
ErdFL_0014	ErdFL_0014	gene	Rv0010c	13132	13558	-	ratt	Simliar to Rv0010c of M. tuberculosis H37Rv
ErdFL_0014	ErdFL_0014	CDS	Rv0010c	13132	13558	-	ratt	Simliar to Rv0010c of M. tuberculosis H37Rv
ErdFL_0015	ErdFL_0015	gene	Rv0011c	13713	13995	-	ratt	Simliar to Rv0011c of M. tuberculosis H37Rv
ErdFL_0015	ErdFL_0015	CDS	Rv0011c	13713	13995	-	ratt	Simliar to Rv0011c of M. tuberculosis H37Rv
ErdFL_0016	ErdFL_0016	gene	Rv0012	14088	14877	+	ratt	Simliar to Rv0012 of M. tuberculosis H37Rv
ErdFL_0016	ErdFL_0016	CDS	Rv0012	14088	14877	+	ratt	Simliar to Rv0012 of M. tuberculosis H37Rv
ErdFL_0017	trpG	gene	Rv0013	14913	15612	+	ratt	Simliar to Rv0013 of M. tuberculosis H37Rv
ErdFL_0017	trpG	CDS	Rv0013	14913	15612	+	ratt	Simliar to Rv0013 of M. tuberculosis H37Rv
