
Gene_ID	error	StartBad	StopBad	frameshifts	splicesites	length	product	errorStill	StartStillBad	StopStillBad	frameshiftsStill	JoinExons	PossiblePseudo	CorrectionLog	
Rv0001	1	1	0	0	0	0	chromosomal replication initiator protein DnaA"	1	1	0	0	0	0	0	
Rv0003	1	1	0	0	0	0	DNA replication/repair protein RecF"	1	1	0	0	0	0	0	
Rv0005	1	1	0	0	0	0	DNA gyrase subunit B"	0	0	0	0	0	0	 // Corrected Start	
Rv0007	1	1	0	0	0	0	membrane protein"	1	1	0	0	0	0	0	
Rv0018c	1	1	0	0	0	0	phosphoserine/threonine phosphatase PstP"	0	0	0	0	0	0	 // Corrected Start	
Rv0021c	1	1	0	0	0	0	hypothetical protein"	0	0	0	0	0	0	 // Corrected Start	
Rv0023	1	1	0	0	0	0	transcriptional regulator"	0	0	0	0	0	0	 // Corrected Start	
Rv0024	1	1	0	0	0	0	NLP/P60 family protein"	0	0	0	0	0	0	 // No unique shift for model found... MANUAL check // Corrected Start	
Rv0025	3	0	1	2	0	1	hypothetical protein"	0	0	0	0	0	0	 // Corrected Stop	
Rv0026	1	1	0	0	0	0	hypothetical protein"	0	0	0	0	0	0	 // Corrected Start	
Rv0029	1	1	0	0	0	0	hypothetical protein"	0	0	0	0	0	0	 // Corrected Start	
Rv0032	3	0	1	2	0	1	8-amino-7-oxononanoate synthase"	0	0	0	0	0	0	 // Corrected Stop	
Rv0037c	1	1	0	0	0	0	MFS-type transporter"	0	0	0	0	0	0	 // No unique shift for model found... MANUAL check // Corrected Start	
Rv0038	1	1	0	0	0	0	hypothetical protein"	0	0	0	0	0	0	 // Corrected Start	
Rv0041	1	1	0	0	0	0	leucine--tRNA ligase"	0	0	0	0	0	0	 // Corrected Start	
Rv0045c	1	1	0	0	0	0	hydrolase"	0	0	0	0	0	0	 // Corrected Start	
Rv0048c	1	1	0	0	0	0	membrane protein"	0	0	0	0	0	0	 // Corrected Start	
